id,first_name,last_name,grade1,grade2,grade3,gender_bio
1,Ellynn,Georgiades,3.8,2.3,1.0,F
2,Averil,Torrisi,2.8,1.1,4.0,M
3,Lyon,Sewter,2.6,3.7,3.6,M
4,Kimberlee,Catford,2.5,1.7,3.9,F
5,Annmaria,Crafts,5.0,1.3,2.3,F
6,Blinny,Salasar,3.6,1.1,3.3,F
7,Wayne,Cheverton,3.8,4.6,1.1,M
8,Heda,Plumridege,2.7,2.6,4.3,F
9,Frederich,Faithorn,1.2,3.6,1.4,M
10,Elva,Colloby,2.1,1.4,3.1,F
11,Donaugh,Starrs,1.8,3.4,4.9,M
12,Cris,Semerad,2.5,2.2,3.0,M
13,Ailee,Shapter,1.1,3.3,4.1,F
14,Sigfried,Boatswain,4.0,3.6,2.4,M
15,Padget,Muris,4.9,4.7,2.7,M
16,Hattie,Winterson,1.1,2.4,4.2,F
17,Dorene,Langtree,2.2,4.1,5.0,F
18,Shelden,Marchent,4.7,2.3,4.5,M
19,Devina,Petris,3.7,1.2,4.7,F
20,Hall,Foulks,4.5,4.6,3.1,M
21,Genevra,Thoms,4.7,1.3,4.6,F
22,Obidiah,Fowgies,2.6,2.4,3.1,M
23,Ignacius,Lideard,1.5,1.3,1.5,M
24,Matilde,Chanders,3.9,2.5,1.4,F
25,Ralph,Doget,2.9,4.2,2.0,M
26,Clem,Radsdale,3.6,2.2,2.3,M
27,Deni,Nys,4.6,4.3,3.6,F
28,Wilona,Bunt,1.6,3.6,3.8,F
29,Claire,Heard,1.5,4.1,4.9,F
30,Johnath,Endley,4.9,4.2,2.5,F
31,Gwenni,Liverock,4.8,4.8,4.7,F
32,Kennith,Lonie,4.1,4.8,1.3,M
33,Marvin,Hawkwood,4.5,3.7,2.7,M
34,Nicole,Kingstne,2.9,2.1,2.9,F
35,Sherwood,Yeude,4.1,3.4,2.4,M
36,Maury,Walford,2.6,1.3,4.6,M
37,Pattie,Kembrey,3.3,3.6,2.2,M
38,Florrie,Pickerin,3.9,3.7,1.9,F
39,Sollie,Dyment,2.1,4.3,1.0,M
40,Ellsworth,Scarsbrooke,4.6,4.8,4.5,M
41,Martie,McCutcheon,4.4,1.8,4.3,F
42,Carmina,McAuliffe,3.9,1.1,4.4,F
43,Drusy,Roll,3.3,4.1,3.7,F
44,Cassie,Huebner,2.4,2.0,2.6,F
45,Pat,Twelftree,3.6,4.6,3.5,M
46,Windham,Gameson,1.4,3.4,4.7,M
47,Lavinie,Minors,1.2,4.5,2.6,F
48,Caryl,Romain,4.8,2.7,3.3,F
49,Anderea,Hutchin,2.0,4.7,3.4,F
50,Sinclare,Maidstone,1.7,3.0,3.1,M
51,Adda,Ambrogioni,2.4,3.5,3.0,F
52,Constantina,Nutbean,3.8,4.1,4.4,F
53,Giuseppe,Simoneau,3.3,3.7,4.1,M
54,Verene,Fodden,3.4,2.8,1.8,F
55,Rosco,Monk,2.2,1.8,3.7,M
56,Alvira,Reggiani,2.7,4.6,3.0,F
57,Cris,MacDiarmid,1.6,3.6,2.0,F
58,Granger,Ackenhead,1.5,4.0,1.9,M
59,Waylin,Forseith,1.8,1.2,3.0,M
60,Prudi,Pesticcio,4.8,1.5,4.5,F
61,Sibylle,Giurio,1.6,1.3,2.0,F
62,Arlen,Hincks,4.8,2.4,2.3,M
63,Adelina,Olkowicz,1.7,3.2,3.7,F
64,Antonia,Gotcliff,3.8,1.7,2.3,F
65,Godwin,Tinsey,1.2,1.4,2.9,M
66,My,Goucher,2.0,3.4,4.6,M
67,Bethanne,Killiam,2.6,3.1,1.7,F
68,Ruprecht,Ambroisin,4.0,2.5,4.8,M
69,Dawn,Ivanchin,3.1,3.8,4.6,F
70,Ronica,Worsalls,3.4,1.8,2.2,F
71,Lurline,Minister,3.2,2.6,3.7,F
72,Mar,Ells,1.1,4.5,2.7,M
73,Grant,Kirgan,1.4,2.7,1.7,M
74,Dagmar,Rich,1.6,4.3,4.6,F
75,Sergei,O'Mohun,4.9,4.9,1.9,M
76,Rosemaria,Creus,2.4,4.6,4.6,F
77,Jemmy,Petrasek,3.6,2.4,2.5,F
78,Suzy,Giraudot,1.7,4.4,1.6,F
79,Zaria,Benthall,4.1,1.3,1.5,F
80,Brannon,Lurner,4.1,3.0,1.3,M
81,Karry,Aizikowitz,3.7,4.6,1.5,F
82,Winn,Qusklay,4.9,4.3,2.0,M
83,Jasper,Feldfisher,3.3,3.0,1.5,M
84,Stanwood,Belhome,2.6,2.3,3.0,M
85,Aland,Camplen,3.1,2.5,2.1,M
86,Consolata,Bennike,3.7,3.7,4.3,F
87,Jo,Wiffill,2.7,2.5,2.6,M
88,Michaella,Craigs,3.5,1.2,1.5,F
89,Colet,Lilleycrop,1.1,4.1,2.7,M
90,Si,Blankhorn,3.0,4.8,2.7,M
91,Hadley,Cranston,1.1,3.6,3.8,M
92,Audrey,d' Eye,2.4,3.0,4.3,F
93,Steffi,Eglinton,3.5,3.6,3.5,F
94,Page,Cubberley,2.2,2.4,3.4,F
95,Ave,Leinweber,1.6,2.8,2.6,M
96,Samara,Epinoy,3.3,1.4,1.3,F
97,Nikolaos,Victory,4.9,2.0,4.9,M
98,Brody,Spur,1.1,4.5,1.7,M
99,Cynthy,McGowan,4.3,2.6,1.3,F
100,Westbrooke,Robel,2.1,4.2,2.0,M
101,Giselle,Strathe,2.3,2.5,2.9,F
102,Hedi,Charley,3.1,4.3,4.9,F
103,Rusty,Deelay,1.7,4.3,4.6,M
104,Isidore,Loudiane,1.2,3.7,4.6,M
105,Zorah,Hargreves,1.2,4.7,1.4,F
106,Beale,Denisyev,2.9,4.8,3.9,M
107,Murvyn,Proske,2.4,1.9,3.8,M
108,Genevieve,Nequest,1.8,2.1,2.6,F
109,Tarrance,Debell,3.5,4.5,1.8,M
110,Jeri,Fairman,3.2,4.1,1.1,F
111,Miller,Coronado,1.3,2.8,4.9,M
112,Amby,Rydings,2.6,1.1,4.2,M
113,Amie,Staves,3.2,3.6,4.4,F
114,Nydia,Reisen,1.4,2.6,4.1,F
115,Skelly,Loyndon,4.5,1.0,3.7,M
116,Kyla,Cersey,1.5,4.4,2.7,F
117,Lauri,Embling,3.8,4.5,4.0,F
118,Kippar,Coldman,1.9,2.5,1.6,M
119,Gilles,MacBarron,3.2,1.5,4.3,M
120,Harley,Thicking,2.4,2.5,1.4,M
121,Brew,Templar,4.8,2.0,2.4,M
122,Nevil,Flatley,3.7,3.3,1.2,M
123,Morrie,Baume,4.8,2.3,1.9,M
124,Ilse,Kertess,4.5,2.7,4.4,F
125,Benn,Connell,1.6,1.4,2.7,M
126,Nathanael,Huxtable,2.4,3.5,1.6,M
127,Pavlov,Girardeau,2.3,2.3,1.4,M
128,Arluene,Shwenn,4.6,4.7,3.7,F
129,Heidie,Jerrold,1.7,2.7,2.8,F
130,Wandie,Sends,2.4,5.0,1.6,F
131,Tessa,Berridge,1.1,4.5,1.7,F
132,Danell,Perillo,4.0,2.2,3.1,F
133,Addie,Cornejo,1.7,3.3,1.8,F
134,Norean,Sydry,3.1,1.6,1.6,F
135,Coral,Sinkin,4.8,3.1,3.4,F
136,Aldous,Keeler,2.1,1.0,2.8,M
137,Vince,Nanson,4.4,1.9,2.5,M
138,Marion,Ajsik,4.9,1.2,2.2,F
139,Ilysa,Halpeine,1.1,1.5,3.0,F
140,Jean,Raulstone,3.1,4.9,1.6,M
141,Rand,St Leger,1.1,3.8,3.8,M
142,Walt,Priddie,3.3,3.1,4.1,M
143,Junie,Ganford,4.4,4.6,2.1,F
144,Johanna,Peckham,1.9,3.6,3.3,F
145,Nathanael,Janout,3.7,1.9,1.4,M
146,Ferdie,De Brett,2.8,2.2,2.3,M
147,Lodovico,Skewis,2.8,4.3,4.3,M
148,Reta,Bernaldez,4.1,4.8,1.5,F
149,Bonnibelle,Lammerts,2.7,4.4,4.0,F
150,Krystalle,Lampkin,3.8,2.2,2.3,F
151,Michel,Suddick,1.9,1.2,4.4,F
152,Datha,Scogings,4.4,4.7,4.0,F
153,Faunie,Rowsel,3.9,4.5,4.4,F
154,Sherilyn,Videler,3.3,2.6,1.5,F
155,Ransom,McCrackem,1.5,2.1,1.6,M
156,Michell,Matyushonok,1.5,3.9,3.9,F
157,Violet,Horsley,2.0,4.4,2.8,F
158,Harley,Peddie,2.8,4.2,3.4,M
159,Hermine,Tynemouth,4.7,2.0,4.9,F
160,Harriott,Ower,4.6,1.1,3.1,F
161,Kingston,Mirando,3.5,4.8,3.7,M
162,Ardelia,Tremblot,1.8,1.2,4.8,F
163,Blancha,Ludwig,1.3,2.2,3.4,F
164,Latrena,Axel,4.6,4.4,5.0,F
165,Jeremie,Stilling,2.6,1.8,3.1,M
166,Estell,Pratley,4.0,4.2,2.8,F
167,Nataline,Dykas,4.0,4.4,4.1,F
168,Ellary,Chitter,2.2,3.2,2.3,M
169,Mahalia,Marchand,2.1,4.7,1.5,F
170,Konstanze,Roath,1.8,2.9,2.8,F
171,Garry,Zimmermanns,3.6,3.6,3.1,M
172,Roman,Flury,3.8,4.2,4.5,M
173,Marget,Bourton,1.9,1.8,2.0,F
174,Ashby,Dood,4.1,2.0,1.5,M
175,Jeddy,Plunkett,4.6,2.0,1.1,M
176,Rolph,Bettlestone,3.8,4.7,3.8,M
177,Amata,Calbreath,2.5,3.5,2.6,F
178,Hugibert,Vevers,2.6,1.7,1.4,M
179,Alexei,Hazeldean,2.1,4.4,1.3,M
180,Kort,Danniell,1.2,1.4,1.5,M
181,Norine,Kesterton,1.2,4.4,4.1,F
182,Lucia,Fattorini,1.7,1.0,2.7,F
183,Cherri,Dalziell,3.6,3.8,2.2,F
184,Martino,Snar,2.9,4.5,4.4,M
185,Zilvia,Sherel,2.3,1.9,2.1,F
186,Lissy,Klimkovich,1.7,2.7,4.5,F
187,Francyne,Blundon,1.7,2.9,1.0,F
188,Halsey,Rizzardini,3.5,1.7,4.0,M
189,Onida,Shephard,3.2,3.0,2.7,F
190,Corby,Beetles,5.0,3.2,3.3,M
191,Ruthi,Drake,4.6,3.6,1.7,F
192,Lothario,Hows,4.8,1.4,1.5,M
193,Loella,Lindores,2.7,2.8,3.0,F
194,Shelly,Cusiter,2.4,4.5,1.6,F
195,Francklin,Kneafsey,4.1,1.6,1.5,M
196,Sherrie,Blackshaw,3.3,3.0,2.3,F
197,Arie,Gibberd,2.6,4.2,4.1,M
198,Port,Wolvey,2.7,1.2,2.9,M
199,Vitia,Sallier,1.4,1.2,3.1,F
200,Law,Mountjoy,4.1,3.6,4.1,M
201,Major,Grimwad,4.8,4.3,3.9,M
202,Urson,Scherme,2.9,2.0,3.1,M
203,Foster,Laise,3.6,4.6,1.1,M
204,Nahum,Burford,3.2,3.5,3.1,M
205,Amabelle,Nourse,3.5,2.7,4.1,F
206,Gianina,Toffolini,1.1,2.1,2.4,F
207,Merci,Gerram,2.7,1.2,4.1,F
208,Georgina,Nathon,3.3,3.8,4.8,F
209,Junie,Hendrichs,3.9,3.7,2.6,F
210,Toni,Roselli,4.8,1.7,3.6,F
211,Marlo,Cutts,5.0,3.8,4.0,M
212,Caresa,Cheese,2.4,3.7,4.2,F
213,Demetria,Scading,4.4,4.3,3.6,F
214,Lurlene,Gaddes,1.5,4.1,4.7,F
215,Sheff,Brenstuhl,4.9,3.0,1.6,M
216,Roman,Botten,2.2,4.4,4.9,M
